Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name,Production (tonnes)
37.02,71.06,58.82,Sandy,Oil seeds,7,9,28,20-20,39669000
37.22,61.58,47.35,Loamy,Ground Nuts,43,2,0,14-35-14,10180000
32.45,68.21,21.16,Sandy,Ground Nuts,7,21,18,Urea,10180000
38.94,73.94,64.07,Red,Maize,12,0,12,17-17-17,37660000
32.45,52.61,41.79,Loamy,Sugarcane,13,9,22,28-28,4.53E+08
27.9,61.55,43.02,Loamy,Tobacco,40,0,0,28-28,804454
32.41,66.99,33.52,Red,Barley,26,0,17,20-20,1690000
37.99,74.34,48.62,Clayey,Wheat,13,9,12,10-26-26,1.13E+08
25.88,57.09,44.64,Clayey,Cotton,10,14,17,17-17-17,4590000
30.87,56.76,45.95,Sandy,Oil seeds,42,2,0,10-26-26,39669000
28.55,43.74,27.1,Clayey,Barley,36,4,0,20-20,1690000
31.83,58.92,38.28,Clayey,Pulses,6,17,11,Urea,24240000
25.38,60.27,32.65,Black,Tobacco,21,1,21,10-26-26,804454
33.48,78.42,32.25,Clayey,Paddy,13,0,39,Urea,22600
30.79,61.19,66.13,Loamy,Oil seeds,8,2,10,17-17-17,39669000
38.37,71.47,41.35,Red,Paddy,42,0,0,20-20,22600
38.52,65.09,55.29,Black,Sugarcane,37,0,1,17-17-17,4.53E+08
32.42,57.29,59.35,Red,Maize,36,0,0,10-26-26,37660000
33.54,62.45,27.73,Black,Maize,10,0,38,17-17-17,37660000
22.94,55.21,33.2,Black,Sugarcane,21,0,26,DAP,4.53E+08
34.64,54.07,30.24,Red,Ground Nuts,36,0,4,20-20,10180000
27.18,54.31,58.77,Black,Oil seeds,10,1,12,14-35-14,39669000
36.75,74.17,53.07,Black,Millets,42,4,0,28-28,11570000
25.18,55.87,41.76,Sandy,Pulses,16,0,39,10-26-26,24240000
35.59,76.91,52.53,Clayey,Millets,15,3,41,17-17-17,11570000
28.46,53.05,34.92,Red,Pulses,26,3,27,10-26-26,24240000
23.72,61.19,42.73,Red,Pulses,38,0,4,DAP,24240000
38.08,63.07,27.4,Black,Cotton,10,0,40,20-20,4590000
32.68,69.24,30.61,Loamy,Ground Nuts,25,0,23,DAP,10180000
27.23,45.13,46.5,Red,Millets,9,22,11,14-35-14,11570000
25.56,62.96,24.11,Clayey,Tobacco,41,0,0,17-17-17,804454
23.23,56.75,26.54,Clayey,Wheat,14,0,3,DAP,1.13E+08
32.08,56.04,57.99,Sandy,Sugarcane,4,10,32,14-35-14,4.53E+08
33.03,57.81,20.71,Black,Tobacco,8,5,26,10-26-26,804454
28.27,61.15,25.82,Sandy,Oil seeds,6,6,34,17-17-17,39669000
25.2,60.8,40.83,Black,Cotton,17,2,39,28-28,4590000
32.37,57.03,65.34,Loamy,Paddy,34,1,2,28-28,22600
32.77,65.31,56.5,Loamy,Sugarcane,21,0,23,10-26-26,4.53E+08
27.51,61.14,61.53,Loamy,Pulses,8,0,39,10-26-26,24240000
36.35,64.04,65.28,Black,Barley,5,9,27,Urea,1690000
20.36,57.7,38.39,Red,Ground Nuts,25,0,18,DAP,10180000
33.04,52.2,21.85,Clayey,Millets,7,15,18,10-26-26,11570000
35.94,62.93,28.98,Red,Barley,3,6,26,DAP,1690000
25.69,61.45,23.95,Black,Tobacco,37,0,0,28-28,804454
27.55,59.01,28.77,Loamy,Ground Nuts,36,2,4,20-20,10180000
38.84,74.14,70,Loamy,Ground Nuts,12,2,38,20-20,10180000
32.3,62.68,41.53,Clayey,Sugarcane,11,2,10,10-26-26,4.53E+08
34.98,76.76,43.81,Loamy,Barley,35,3,0,DAP,1690000
25.16,56.14,61.08,Red,Pulses,12,1,35,10-26-26,24240000
38.09,65.45,47.28,Loamy,Barley,7,14,14,17-17-17,1690000
37,70.38,34.26,Loamy,Pulses,18,0,15,Urea,24240000
32.35,63.44,24.13,Red,Cotton,41,4,0,14-35-14,4590000
32.28,67.55,49.48,Red,Pulses,24,0,22,28-28,24240000
34.57,53.65,30.56,Sandy,Ground Nuts,25,0,24,20-20,10180000
32.83,60.9,30.93,Loamy,Cotton,8,9,25,14-35-14,4590000
31.17,67.47,56.61,Loamy,Tobacco,12,0,7,DAP,804454
35.93,63.52,47.76,Clayey,Wheat,20,0,16,Urea,1.13E+08
35.88,65.43,51.08,Clayey,Oil seeds,11,15,10,Urea,39669000
23.9,50.65,40.95,Red,Ground Nuts,40,0,4,17-17-17,10180000
32.3,58.56,36.13,Sandy,Millets,25,2,20,20-20,11570000
29.21,68.29,33.86,Black,Pulses,6,16,17,14-35-14,24240000
34.78,74.96,23.1,Black,Oil seeds,8,0,32,28-28,39669000
33.65,59.37,58.73,Sandy,Oil seeds,39,0,0,Urea,39669000
28.58,62.64,30.24,Sandy,Cotton,13,1,14,Urea,4590000
30.6,46.79,28.45,Red,Maize,8,0,6,14-35-14,37660000
31.13,61.96,56.93,Clayey,Pulses,12,3,31,17-17-17,24240000
35.66,64.66,38.16,Loamy,Pulses,12,4,16,10-26-26,24240000
38.02,73.39,34.53,Black,Barley,40,0,0,17-17-17,1690000
26.7,42.56,25.82,Red,Tobacco,9,11,17,Urea,804454
30.06,56.63,49.63,Clayey,Ground Nuts,9,0,12,10-26-26,10180000
32.38,67.07,45.41,Clayey,Cotton,44,0,0,14-35-14,4590000
30.11,55.41,33.96,Loamy,Millets,24,0,19,28-28,11570000
40,66.23,24.12,Black,Paddy,8,0,14,20-20,22600
28.18,56.88,55.26,Red,Cotton,23,4,18,14-35-14,4590000
28.93,52.02,34.13,Black,Cotton,10,0,32,Urea,4590000
32.94,60.02,33,Black,Ground Nuts,7,10,25,DAP,10180000
30.05,71.84,55.66,Black,Millets,1,10,28,17-17-17,11570000
30.5,66.54,39.44,Clayey,Tobacco,10,0,12,DAP,804454
36.14,63.53,29.95,Red,Ground Nuts,16,0,37,20-20,10180000
29.07,58.16,32.93,Clayey,Sugarcane,15,0,42,Urea,4.53E+08
34.84,63.19,45.19,Red,Sugarcane,38,1,2,10-26-26,4.53E+08
34.61,67.29,36.72,Loamy,Millets,37,4,0,Urea,11570000
26.2,53.65,56.71,Sandy,Maize,36,3,0,14-35-14,37660000
33.91,63.82,41.45,Black,Wheat,12,0,10,14-35-14,1.13E+08
34.79,61.91,46.9,Clayey,Wheat,38,2,0,10-26-26,1.13E+08
26.74,57.16,20,Clayey,Millets,37,0,4,17-17-17,11570000
32.91,56.48,45.87,Black,Millets,4,0,18,Urea,11570000
24.06,65.78,58.11,Red,Cotton,14,3,6,28-28,4590000
33.94,69.64,41.55,Loamy,Paddy,10,3,29,17-17-17,22600
27.16,54.78,41.9,Black,Pulses,17,2,32,Urea,24240000
35.04,69.13,59.45,Black,Sugarcane,14,14,13,10-26-26,4.53E+08
26.78,53.14,37.57,Black,Pulses,24,0,21,Urea,24240000
26.4,65.11,55.15,Black,Pulses,3,9,37,Urea,24240000
30.74,54.35,61.21,Sandy,Cotton,16,0,8,20-20,4590000
36.75,59.8,37.97,Black,Sugarcane,21,0,23,17-17-17,4.53E+08
25.11,48.12,62.98,Loamy,Pulses,15,4,30,10-26-26,24240000
38.91,64.93,39.42,Sandy,Pulses,38,2,1,DAP,24240000
26.05,58.12,35.26,Black,Pulses,28,4,20,20-20,24240000
34.2,64.85,39.67,Clayey,Maize,13,0,36,10-26-26,37660000
28.76,50.58,38.28,Loamy,Oil seeds,35,3,1,17-17-17,39669000
34.06,71.7,43.15,Red,Barley,12,12,28,28-28,1690000
26.51,56.57,20,Sandy,Ground Nuts,11,13,27,DAP,10180000
21.36,56.53,34.78,Black,Maize,3,15,24,28-28,37660000
28.11,45.27,48.25,Sandy,Paddy,7,8,24,Urea,22600
22.72,44.19,24.65,Black,Pulses,38,0,3,14-35-14,24240000
22.54,52.75,31.79,Red,Millets,21,3,18,DAP,11570000
24.5,42.83,57.23,Loamy,Cotton,24,0,22,Urea,4590000
34.26,72.48,43.81,Clayey,Ground Nuts,14,19,23,17-17-17,10180000
36.19,77.04,57.3,Black,Ground Nuts,13,1,39,DAP,10180000
21.14,58.75,31.2,Loamy,Maize,14,0,13,DAP,37660000
24.28,50.9,34.64,Loamy,Millets,14,0,36,17-17-17,11570000
25.06,56.22,22.4,Sandy,Millets,18,0,43,17-17-17,11570000
30.21,50.79,37.79,Clayey,Barley,5,1,16,Urea,1690000
30.32,58.2,37.68,Loamy,Tobacco,37,0,1,20-20,804454
35.17,60.97,34.42,Black,Ground Nuts,8,0,33,17-17-17,10180000
29.63,58.39,64.42,Sandy,Barley,8,1,11,28-28,1690000
31.41,50.97,45.98,Sandy,Millets,38,0,0,14-35-14,11570000
34.17,71.47,70,Loamy,Tobacco,15,0,37,10-26-26,804454
38.62,65.2,36.37,Sandy,Tobacco,37,1,3,10-26-26,804454
32.84,66.47,69.01,Red,Sugarcane,12,5,35,Urea,4.53E+08
30.87,74.24,62.38,Clayey,Maize,7,16,9,14-35-14,37660000
26.02,52.58,39.77,Red,Sugarcane,41,0,3,14-35-14,4.53E+08
31,64.07,51.2,Black,Wheat,13,3,11,28-28,1.13E+08
30.47,58.88,38.22,Red,Pulses,20,2,18,17-17-17,24240000
30.33,54.91,37.16,Black,Millets,36,0,0,Urea,11570000
24.62,63.54,33.9,Loamy,Wheat,43,0,0,Urea,1.13E+08
34.5,61.62,61.48,Red,Cotton,6,11,29,28-28,4590000
34.45,61.44,70,Red,Sugarcane,13,12,24,DAP,4.53E+08
28.91,60.07,39.93,Black,Barley,34,0,3,20-20,1690000
31.57,53.14,20.33,Sandy,Oil seeds,41,4,2,10-26-26,39669000
26.19,63.76,35.68,Red,Millets,32,0,0,28-28,11570000
25.14,48.37,28.64,Black,Millets,8,6,14,14-35-14,11570000
38.41,74.99,25.39,Black,Maize,9,0,36,Urea,37660000
29.57,70.26,37.15,Red,Millets,12,0,37,14-35-14,11570000
33.72,54.21,47.29,Red,Oil seeds,24,0,18,DAP,39669000
33.3,57.9,57.26,Black,Pulses,13,1,39,17-17-17,24240000
29.6,58.3,44.4,Clayey,Wheat,36,3,0,20-20,1.13E+08
27.83,60.88,29.59,Red,Sugarcane,40,2,3,14-35-14,4.53E+08
24.31,49.48,27.55,Red,Millets,17,0,39,17-17-17,11570000
31.77,46.28,45.72,Red,Cotton,35,1,0,17-17-17,4590000
28.65,59.24,40.45,Clayey,Barley,10,13,22,28-28,1690000
30.23,72.24,57.55,Red,Cotton,9,13,29,17-17-17,4590000
23.86,56.94,45.96,Black,Paddy,17,4,10,14-35-14,22600
24.03,59.41,55.3,Sandy,Cotton,0,15,10,14-35-14,4590000
32.86,54.42,41.19,Red,Ground Nuts,22,4,22,DAP,10180000
31.58,60.79,41.51,Sandy,Barley,1,13,13,14-35-14,1690000
29.38,67.36,40.79,Black,Tobacco,5,11,17,14-35-14,804454
34.45,66.86,35.97,Black,Maize,45,0,0,Urea,37660000
29.34,42.41,44.03,Clayey,Tobacco,22,0,18,Urea,804454
40,62.24,42.28,Loamy,Pulses,14,1,18,14-35-14,24240000
31.51,63.07,38.77,Loamy,Ground Nuts,23,1,13,Urea,10180000
27.67,45.92,36.55,Loamy,Sugarcane,32,1,0,20-20,4.53E+08
28.12,45.77,43.16,Sandy,Ground Nuts,44,1,0,17-17-17,10180000
30.04,45.43,37.77,Black,Maize,19,4,21,10-26-26,37660000
28.79,73.96,35.13,Clayey,Wheat,16,3,42,DAP,1.13E+08
31.74,63.18,24.75,Loamy,Maize,11,13,16,10-26-26,37660000
36.76,59.74,39.36,Black,Wheat,22,1,20,17-17-17,1.13E+08
26.29,47.4,68.32,Black,Pulses,6,0,7,14-35-14,24240000
25.37,50.94,25.52,Black,Sugarcane,3,14,20,14-35-14,4.53E+08
25.49,59.63,68.9,Red,Barley,8,0,42,28-28,1690000
28.88,55.01,36.26,Red,Pulses,39,0,0,10-26-26,24240000
34.53,58.86,52.25,Black,Oil seeds,18,3,41,17-17-17,39669000
29.73,44.95,36.64,Clayey,Sugarcane,10,0,38,Urea,4.53E+08
30.05,59.14,39.13,Red,Ground Nuts,17,0,43,20-20,10180000
30.67,61.01,35.65,Clayey,Oil seeds,41,2,0,17-17-17,39669000
24.3,53.62,60.71,Clayey,Sugarcane,9,2,35,10-26-26,4.53E+08
37.7,56.61,57.93,Loamy,Wheat,27,0,15,10-26-26,1.13E+08
27.09,48.1,39.39,Clayey,Ground Nuts,9,11,21,Urea,10180000
28.02,43.47,37.43,Black,Sugarcane,33,0,2,28-28,4.53E+08
34.62,64.2,39.87,Sandy,Millets,21,1,19,28-28,11570000
33,72.49,26.85,Loamy,Millets,11,3,36,20-20,11570000
37.48,74.71,50.16,Sandy,Wheat,33,0,2,10-26-26,1.13E+08
40,80,55.43,Clayey,Paddy,42,4,0,DAP,22600
33.47,62.71,36.43,Loamy,Sugarcane,17,0,39,Urea,4.53E+08
24.91,47.48,32.77,Black,Pulses,17,0,21,17-17-17,24240000
30.89,57.6,53.41,Sandy,Maize,41,1,0,28-28,37660000
25.22,53.11,39.07,Red,Tobacco,24,0,14,20-20,804454
30.68,66.46,37.19,Red,Sugarcane,17,0,38,17-17-17,4.53E+08
27.33,64.51,61.53,Sandy,Millets,12,11,32,20-20,11570000
29.96,54.53,67.99,Black,Ground Nuts,13,4,6,20-20,10180000
32.99,50.56,44.4,Clayey,Sugarcane,4,15,14,14-35-14,4.53E+08
36.5,76.58,69.11,Sandy,Oil seeds,15,0,41,14-35-14,39669000
24.59,51.79,70,Black,Paddy,9,3,8,28-28,22600
28.14,64.83,42.85,Loamy,Wheat,14,0,7,17-17-17,1.13E+08
31.92,57.22,51.32,Black,Millets,18,4,17,Urea,11570000
36.21,57.4,64.18,Black,Oil seeds,34,0,1,28-28,39669000
29.54,58.68,37.33,Black,Paddy,27,0,20,28-28,22600
37.62,54.26,47.98,Red,Sugarcane,8,0,8,17-17-17,4.53E+08
23,53.85,26.32,Clayey,Cotton,11,1,12,Urea,4590000
33.55,58.99,28.88,Loamy,Paddy,33,3,0,20-20,22600
25.2,54.36,56.57,Black,Barley,5,16,13,14-35-14,1690000
28.1,57.31,69.25,Sandy,Millets,40,0,0,10-26-26,11570000
26.32,61.03,28,Black,Oil seeds,7,9,32,20-20,39669000
36.26,72.92,70,Red,Barley,11,4,28,17-17-17,1690000
36.08,67.07,39.77,Loamy,Cotton,4,7,26,28-28,4590000
26.61,51.72,36.01,Red,Ground Nuts,45,0,0,28-28,10180000
22.55,57.45,46.58,Red,Paddy,24,1,24,DAP,22600
35.44,68.66,47.39,Loamy,Wheat,13,20,20,20-20,1.13E+08
31.47,64.11,65.21,Black,Sugarcane,13,3,28,20-20,4.53E+08
23.45,48.04,34.71,Loamy,Sugarcane,33,4,1,14-35-14,4.53E+08
32.95,47.81,36.46,Sandy,Cotton,11,5,26,14-35-14,4590000
35.89,69.26,56.39,Sandy,Tobacco,19,0,23,28-28,804454
32.33,75.18,40.55,Black,Sugarcane,14,19,23,10-26-26,4.53E+08
38.98,58.36,50.55,Red,Tobacco,16,0,42,Urea,804454
33.44,62.95,26.99,Clayey,Pulses,27,0,19,28-28,24240000
25,43.01,70,Sandy,Maize,38,0,3,10-26-26,37660000
29.95,70.97,49.89,Loamy,Tobacco,24,0,27,10-26-26,804454
28.47,63.69,51.32,Black,Cotton,8,0,8,10-26-26,4590000
37.78,67.61,42.9,Loamy,Tobacco,37,0,0,28-28,804454
20.85,59.67,27.39,Black,Ground Nuts,15,9,6,DAP,10180000
34.47,55.91,64.25,Loamy,Paddy,9,8,25,17-17-17,22600
22.37,49,70,Red,Paddy,40,1,0,28-28,22600
22.29,47.57,66.46,Sandy,Oil seeds,11,0,12,28-28,39669000
25.06,59.78,44.6,Clayey,Millets,36,0,0,28-28,11570000
30.44,62.39,67.03,Black,Pulses,22,2,19,17-17-17,24240000
24.39,43.91,36.11,Red,Cotton,18,0,21,DAP,4590000
36.89,69.58,42.28,Sandy,Cotton,37,0,0,28-28,4590000
30.22,50.85,59.57,Clayey,Wheat,5,5,34,10-26-26,1.13E+08
36.69,78.73,43.49,Red,Oil seeds,35,0,3,20-20,39669000
29.5,42.7,52.43,Loamy,Tobacco,21,0,21,Urea,804454
36.74,61.86,29.3,Clayey,Wheat,38,2,0,14-35-14,1.13E+08
29.86,61.53,51.88,Loamy,Millets,33,2,0,20-20,11570000
26.18,44.54,66.14,Loamy,Wheat,8,0,17,20-20,1.13E+08
24.23,54.33,34.93,Sandy,Tobacco,5,10,28,14-35-14,804454
25.05,64.63,47.88,Loamy,Pulses,10,3,6,DAP,24240000
29,57.95,20.71,Red,Oil seeds,12,16,11,10-26-26,39669000
39.5,59.87,52.35,Black,Oil seeds,11,1,36,20-20,39669000
27.46,66.87,26.04,Loamy,Maize,6,11,34,14-35-14,37660000
31.41,56.68,46.38,Loamy,Paddy,10,15,17,28-28,22600
26.18,54.54,46.83,Sandy,Tobacco,37,1,0,17-17-17,804454
31.52,51.09,41.27,Loamy,Oil seeds,38,0,4,DAP,39669000
35.22,76.59,24.21,Loamy,Oil seeds,10,1,39,14-35-14,39669000
37.69,54.05,40.24,Loamy,Pulses,19,0,45,17-17-17,24240000
27.77,54.61,46.77,Loamy,Wheat,12,3,32,10-26-26,1.13E+08
32.86,65.21,45.16,Sandy,Sugarcane,26,0,21,DAP,4.53E+08
28.3,60.42,55.44,Sandy,Paddy,11,13,17,Urea,22600
34.98,64.48,51.57,Clayey,Tobacco,12,0,37,14-35-14,804454
39.31,59.72,40.8,Red,Cotton,42,3,0,DAP,4590000
27.41,48.69,52.62,Black,Wheat,11,3,33,DAP,1.13E+08
29.89,59.26,51.55,Sandy,Cotton,15,0,12,28-28,4590000
34.05,71.7,24.22,Clayey,Pulses,26,0,18,20-20,24240000
23.91,43.52,39.54,Black,Sugarcane,34,2,0,17-17-17,4.53E+08
32.24,49.43,40.27,Black,Cotton,36,0,0,14-35-14,4590000
36.98,53.44,24.52,Clayey,Pulses,13,2,37,14-35-14,24240000
30.83,50.49,61.71,Black,Oil seeds,18,4,36,DAP,39669000
27.06,51.39,53.38,Clayey,Cotton,9,0,37,28-28,4590000
38.7,65.81,23.13,Loamy,Wheat,6,0,34,20-20,1.13E+08
30.9,55.65,30.7,Loamy,Ground Nuts,11,6,11,20-20,10180000
27.98,46.24,47.68,Loamy,Maize,21,0,24,Urea,37660000
38.27,60.33,37.69,Sandy,Cotton,9,4,16,14-35-14,4590000
28.07,52.91,43.54,Red,Tobacco,8,13,16,20-20,804454
38.99,59.31,46.91,Clayey,Ground Nuts,2,15,20,10-26-26,10180000
35.18,73.86,61.58,Black,Cotton,12,0,14,17-17-17,4590000
29.63,51.13,59.87,Sandy,Tobacco,4,12,36,Urea,804454
26.44,66.93,58.88,Clayey,Barley,17,0,38,10-26-26,1690000
32.97,76.36,35.98,Red,Pulses,10,0,18,14-35-14,24240000
32.59,52.77,67.32,Sandy,Wheat,14,0,38,Urea,1.13E+08
40,61.28,57.03,Clayey,Paddy,9,8,24,10-26-26,22600
35.08,60.37,45.69,Loamy,Barley,22,1,26,17-17-17,1690000
33.46,60.65,34.68,Red,Cotton,17,0,7,20-20,4590000
32.95,66.06,24.22,Red,Millets,19,0,21,28-28,11570000
27.46,63.08,52.97,Black,Cotton,11,0,12,10-26-26,4590000
40,56.21,37.48,Sandy,Ground Nuts,10,1,37,20-20,10180000
30.85,53.02,26.39,Sandy,Wheat,12,2,27,10-26-26,1.13E+08
24.58,43.05,67.17,Clayey,Millets,40,3,2,14-35-14,11570000
32.99,64.5,30.16,Red,Paddy,10,0,32,14-35-14,22600
24.83,48.37,49.51,Sandy,Pulses,9,3,39,10-26-26,24240000
30.82,56.4,56.14,Red,Paddy,5,13,15,Urea,22600
33.65,64.1,41.88,Loamy,Maize,12,2,34,14-35-14,37660000
27.99,52.83,35.74,Loamy,Ground Nuts,11,12,21,Urea,10180000
22.87,44.91,24.78,Loamy,Barley,19,14,13,28-28,1690000
29.95,68.13,38.6,Red,Sugarcane,21,0,15,DAP,4.53E+08
39.25,76.98,28.94,Clayey,Ground Nuts,12,0,37,Urea,10180000
29.82,66.85,23.96,Loamy,Tobacco,9,20,12,17-17-17,804454
26.66,63.18,32.47,Sandy,Tobacco,42,4,0,20-20,804454
30.12,47.45,64.3,Loamy,Tobacco,36,4,0,14-35-14,804454
28.82,53.22,38.74,Clayey,Ground Nuts,26,1,17,DAP,10180000
23.42,54.77,33.63,Black,Paddy,39,0,4,DAP,22600
28.45,62.42,52.98,Black,Ground Nuts,17,0,37,17-17-17,10180000
24.76,58.45,38.36,Sandy,Wheat,11,0,15,DAP,1.13E+08
31.65,56.41,30.22,Red,Paddy,19,3,27,28-28,22600
23.2,46.23,65.9,Red,Wheat,39,4,4,Urea,1.13E+08
33.52,60.5,52.77,Red,Oil seeds,13,13,11,17-17-17,39669000
31.19,51.5,20,Loamy,Cotton,13,8,28,14-35-14,4590000
27.52,51.39,46.96,Black,Wheat,40,2,4,28-28,1.13E+08
30.46,57.09,32.66,Sandy,Tobacco,6,17,21,Urea,804454
34.36,64.55,38.08,Sandy,Pulses,25,1,19,10-26-26,24240000
32.14,57.35,49.7,Loamy,Tobacco,19,1,36,DAP,804454
36.81,60.97,46.15,Black,Pulses,10,21,23,Urea,24240000
30.15,59.21,25.04,Loamy,Pulses,20,3,16,14-35-14,24240000
29.77,63.09,47.01,Red,Sugarcane,21,1,17,17-17-17,4.53E+08
30.24,51.96,38.03,Black,Pulses,36,0,3,Urea,24240000
24.97,47.28,41.8,Black,Pulses,3,17,19,10-26-26,24240000
26.34,61.87,22.93,Red,Maize,15,0,16,20-20,37660000
37.17,73.45,62.33,Black,Millets,9,1,41,28-28,11570000
29.78,65.45,39.96,Loamy,Paddy,9,3,39,14-35-14,22600
30.05,61.94,57.63,Red,Tobacco,5,9,33,DAP,804454
23.59,54.55,43.39,Sandy,Ground Nuts,40,1,4,DAP,10180000
22.2,55.19,60.43,Black,Wheat,8,0,5,10-26-26,1.13E+08
29.33,58.97,42.02,Loamy,Cotton,11,4,46,17-17-17,4590000
28.33,61.2,58.57,Red,Wheat,11,4,18,20-20,1.13E+08
34.24,61.19,31.95,Sandy,Maize,20,3,16,DAP,37660000
29.04,73.52,60.4,Clayey,Oil seeds,4,3,15,28-28,39669000
32.64,52.05,29.73,Sandy,Pulses,15,3,38,17-17-17,24240000
38.51,72.73,54.65,Sandy,Paddy,39,0,3,14-35-14,22600
26.36,58.22,35.11,Loamy,Tobacco,37,2,3,Urea,804454
26.86,60.39,30.72,Clayey,Maize,34,0,0,Urea,37660000
28.96,54.55,40.7,Black,Tobacco,12,0,18,DAP,804454
31.35,64.03,52.01,Black,Cotton,17,0,39,17-17-17,4590000
20.03,52.64,70,Sandy,Sugarcane,13,0,13,20-20,4.53E+08
37.86,61.26,47.91,Loamy,Barley,15,14,14,Urea,1690000
34.3,73.98,23.5,Sandy,Pulses,8,0,34,14-35-14,24240000
28.75,65.85,40.56,Sandy,Ground Nuts,20,0,13,10-26-26,10180000
34.35,68.28,37.3,Loamy,Wheat,45,0,2,20-20,1.13E+08
29.5,58.68,59.82,Sandy,Oil seeds,3,10,37,Urea,39669000
23.09,47.76,36.04,Red,Barley,37,2,0,20-20,1690000
31.45,59.17,41.86,Sandy,Maize,9,8,31,DAP,37660000
29.76,68.21,44.33,Sandy,Wheat,8,12,10,DAP,1.13E+08
23.9,52.22,35.06,Black,Cotton,13,0,4,DAP,4590000
31.65,58.98,60.38,Loamy,Wheat,19,0,23,28-28,1.13E+08
32.72,68.34,67.2,Red,Barley,14,0,37,DAP,1690000
39.16,69.41,37.45,Red,Tobacco,17,0,40,17-17-17,804454
30.58,57.79,62.55,Loamy,Sugarcane,12,4,38,20-20,4.53E+08
24.24,61.14,60.21,Red,Wheat,10,0,10,14-35-14,1.13E+08
36.13,58.84,40.14,Clayey,Paddy,19,0,20,28-28,22600
33.8,67.31,32.57,Clayey,Paddy,9,19,18,17-17-17,22600
22.83,48.52,61.42,Black,Tobacco,13,0,12,Urea,804454
27.46,63.46,32.44,Sandy,Oil seeds,2,14,20,DAP,39669000
23.99,49.61,27.08,Red,Millets,11,2,8,17-17-17,11570000
32.35,69.35,54.59,Red,Oil seeds,13,8,35,10-26-26,39669000
32.05,53.97,35.02,Loamy,Millets,41,0,0,Urea,11570000
23.89,51.43,32.44,Clayey,Ground Nuts,38,2,0,20-20,10180000
25.23,47.76,41.74,Black,Pulses,23,1,23,28-28,24240000
25.04,45.85,51.39,Loamy,Tobacco,27,0,17,17-17-17,804454
22.58,47.54,39.32,Red,Ground Nuts,34,0,3,Urea,10180000
30.78,72.03,70,Sandy,Maize,26,2,24,Urea,37660000
28.14,44.5,35.74,Red,Paddy,34,3,0,14-35-14,22600
36.75,61.32,50.32,Clayey,Ground Nuts,23,0,18,28-28,10180000
34.03,59.52,31.77,Red,Sugarcane,41,0,0,10-26-26,4.53E+08
29.35,59.63,48.74,Clayey,Tobacco,12,8,29,14-35-14,804454
36.54,74.27,38.52,Red,Ground Nuts,13,4,42,17-17-17,10180000
29.01,55.34,29.06,Clayey,Millets,16,0,15,14-35-14,11570000
34.65,60.23,61.23,Red,Ground Nuts,8,0,13,10-26-26,10180000
34.12,72.45,52.22,Black,Ground Nuts,6,10,29,14-35-14,10180000
23.2,51.15,44.35,Clayey,Cotton,39,0,3,28-28,4590000
30.61,56.22,43.7,Red,Maize,11,8,14,17-17-17,37660000
34.29,62.12,28.36,Loamy,Wheat,16,1,34,28-28,1.13E+08
27.72,52.05,49.01,Clayey,Maize,44,0,2,14-35-14,37660000
27.44,55.79,34.2,Sandy,Ground Nuts,35,3,4,Urea,10180000
30.48,54.04,50.81,Sandy,Tobacco,7,7,37,17-17-17,804454
30.94,58.19,66.53,Red,Sugarcane,21,0,21,17-17-17,4.53E+08
36.87,73.12,54.53,Sandy,Barley,13,0,35,Urea,1690000
35.05,70.45,42.95,Sandy,Millets,24,0,17,Urea,11570000
35.26,55.7,38.7,Red,Millets,19,4,26,DAP,11570000
30.84,54.44,38.5,Red,Wheat,16,3,27,20-20,1.13E+08
25.41,56.57,63.78,Sandy,Paddy,10,8,11,Urea,22600
31.29,48.4,35.57,Sandy,Barley,13,8,32,10-26-26,1690000
33.77,70.96,30.96,Red,Maize,8,0,10,20-20,37660000
22.79,44.82,36.75,Clayey,Sugarcane,20,0,22,DAP,4.53E+08
35.39,55.43,61.72,Red,Oil seeds,18,0,38,14-35-14,39669000
32.69,67.2,30.23,Clayey,Barley,9,0,38,14-35-14,1690000
29.04,52.28,61.27,Sandy,Maize,12,0,32,20-20,37660000
30.97,52.6,49.95,Black,Wheat,18,0,25,17-17-17,1.13E+08
26.51,54.41,25.69,Loamy,Tobacco,6,18,20,17-17-17,804454
24.14,65.95,36.58,Red,Millets,5,5,28,DAP,11570000
29.44,59.33,21.43,Red,Cotton,12,1,36,14-35-14,4590000
28.89,50.23,31.86,Red,Wheat,13,0,11,17-17-17,1.13E+08
36.76,71.34,50.85,Sandy,Wheat,9,11,23,20-20,1.13E+08
32.93,69.74,37.19,Sandy,Maize,23,0,15,28-28,37660000
25.77,51.57,49.07,Clayey,Wheat,10,8,32,14-35-14,1.13E+08
38.24,69.68,42.29,Sandy,Ground Nuts,11,4,26,DAP,10180000
31.38,57.81,50.23,Clayey,Barley,8,18,10,20-20,1690000
25.77,49.55,51.79,Loamy,Wheat,26,0,16,17-17-17,1.13E+08
33.65,61.98,34.79,Red,Sugarcane,40,2,0,Urea,4.53E+08
34.32,60.9,35.02,Loamy,Barley,19,0,16,Urea,1690000
33.91,65.24,30.22,Clayey,Cotton,37,0,0,20-20,4590000
25.14,56.51,36.84,Clayey,Millets,17,0,34,17-17-17,11570000
24.5,55.97,58.19,Loamy,Sugarcane,43,2,0,10-26-26,4.53E+08
